,gdpPercap_1997,gdpPercap_2002,gdpPercap_2007
0,10967.28195,8797.640716,12779.379640000001
1,3326.143191,3413.26269,3822.1370840000004
2,7957.980823999999,8131.212843000001,9065.800825
3,28954.92589,33328.96507,36319.235010000004
4,10118.053179999999,10778.78385,13171.63885
5,6117.3617460000005,5755.259962,7006.580419
6,6677.045314,7723.447195000001,9645.06142
7,5431.990415,6340.646683,8948.102923
8,3614.101285,4563.808154,6025.374752000001
9,7429.455876999999,5773.0445119999995,6873.262326000001
10,5154.825496,5351.568665999999,5728.353514
11,4684.313807,4858.347495,5186.050003
12,1341.7269310000001,1270.364932,1201.637154
13,3160.454906,3099.72866,3548.3308460000003
14,7121.924704000001,6994.774861,7320.880262000001
15,9767.29753,10742.44053,11977.57496
16,2253.023004,2474.548819,2749.320965
17,7113.692252,7356.031934000001,9809.185636
18,4247.400261,3783.674243,4172.838464
19,5838.347657,5909.020073,7408.905561
20,16999.4333,18855.606180000002,19328.70901
21,8792.573126000001,11460.60023,18008.50924
22,35767.43303,39097.09955,42951.65309
23,9230.240708,7727.002004000001,10611.46299
24,10165.49518,8605.047831,11415.805690000001
